Date,otex - closing
03-03-15 16:00,29.06
04-03-15 16:00,28.95
05-03-15 16:00,28.79
06-03-15 16:00,28.38
09-03-15 16:00,28.75
10-03-15 16:00,27.25
11-03-15 16:00,26.84
12-03-15 16:00,27.67
13-03-15 16:00,27.33
16-03-15 16:00,27.57
17-03-15 16:00,27.83
18-03-15 16:00,28.19
19-03-15 16:00,27.93
20-03-15 16:00,28.29
23-03-15 16:00,28.24
24-03-15 16:00,27.97
25-03-15 16:00,27.1
26-03-15 16:00,26.9
27-03-15 16:00,26.55
30-03-15 16:00,26.49
31-03-15 16:00,26.45
01-04-15 16:00,26.97
02-04-15 16:00,26.78
06-04-15 16:00,26.87
07-04-15 16:00,27.68
08-04-15 16:00,27.68
09-04-15 16:00,27.76
10-04-15 16:00,28
13-04-15 16:00,28.23
14-04-15 16:00,28.27
15-04-15 16:00,29.06
16-04-15 16:00,29.17
17-04-15 16:00,28.61
20-04-15 16:00,28.41
21-04-15 16:00,28.76
22-04-15 16:00,28.62
23-04-15 16:00,28.71
24-04-15 16:00,27.92
27-04-15 16:00,28
28-04-15 16:00,27.7
29-04-15 16:00,25.97
30-04-15 16:00,25.29
01-05-15 16:00,25.21
04-05-15 16:00,25.31
05-05-15 16:00,25.01
06-05-15 16:00,24.89
07-05-15 16:00,24.64
08-05-15 16:00,24.62
11-05-15 16:00,24.29
12-05-15 16:00,24.13
13-05-15 16:00,24.03
14-05-15 16:00,24.08
15-05-15 16:00,24.41
18-05-15 16:00,24.2
19-05-15 16:00,24.1
20-05-15 16:00,24.5
21-05-15 16:00,21.23
22-05-15 16:00,21.52
26-05-15 16:00,21.38
27-05-15 16:00,21.22
28-05-15 16:00,21.27
29-05-15 16:00,21.22
01-06-15 16:00,21.1
02-06-15 16:00,21.17
03-06-15 16:00,21.21
04-06-15 16:00,21.06
05-06-15 16:00,21.2
08-06-15 16:00,21.25
09-06-15 16:00,21.22
10-06-15 16:00,21.32
11-06-15 16:00,21.35
12-06-15 16:00,21.34
15-06-15 16:00,21.37
16-06-15 16:00,21.37
17-06-15 16:00,21.3
18-06-15 16:00,21.32
19-06-15 16:00,21.02
22-06-15 16:00,20.94
23-06-15 16:00,20.91
24-06-15 16:00,20.76
25-06-15 16:00,20.57
26-06-15 16:00,20.4
29-06-15 16:00,20.06
30-06-15 16:00,20.27
01-07-15 16:00,20.3
02-07-15 16:00,20.31
06-07-15 16:00,19.79
07-07-15 16:00,19.87
08-07-15 16:00,19.57
09-07-15 16:00,19.58
10-07-15 16:00,19.57
13-07-15 16:00,19.59
14-07-15 16:00,19.59
15-07-15 16:00,19.33
16-07-15 16:00,19.47
17-07-15 16:00,19.3
20-07-15 16:00,19.2
21-07-15 16:00,19.01
22-07-15 16:00,19.04
23-07-15 16:00,19.01
24-07-15 16:00,18.7
27-07-15 16:00,18.45
28-07-15 16:00,18.59
29-07-15 16:00,18.82
30-07-15 16:00,22.87
31-07-15 16:00,22.76
03-08-15 16:00,22.83
04-08-15 16:00,23.01
05-08-15 16:00,22.91
06-08-15 16:00,22.86
07-08-15 16:00,22.98
10-08-15 16:00,23.17
11-08-15 16:00,22.88
12-08-15 16:00,22.86
13-08-15 16:00,22.96
14-08-15 16:00,22.94
17-08-15 16:00,22.93
18-08-15 16:00,22.98
19-08-15 16:00,22.79
20-08-15 16:00,22.34
21-08-15 16:00,21.94
24-08-15 16:00,21.23
25-08-15 16:00,21.55
26-08-15 16:00,22.25
27-08-15 16:00,22.63
28-08-15 16:00,22.54
31-08-15 16:00,22.66
01-09-15 16:00,22.62
02-09-15 16:00,22.62
03-09-15 16:00,22.77
04-09-15 16:00,22.64
08-09-15 16:00,22.87
09-09-15 16:00,22.47
10-09-15 16:00,22.53
11-09-15 16:00,22.58
14-09-15 16:00,22.55
15-09-15 16:00,23.16
16-09-15 16:00,23.41
17-09-15 16:00,23.33
18-09-15 16:00,23.11
21-09-15 16:00,23.22
22-09-15 16:00,22.63
23-09-15 16:00,22.56
24-09-15 16:00,22.41
25-09-15 16:00,22.36
28-09-15 16:00,22.02
29-09-15 16:00,22.07
30-09-15 16:00,22.38
01-10-15 16:00,22.7
02-10-15 16:00,22.51
05-10-15 16:00,22.93
06-10-15 16:00,22.86
07-10-15 16:00,23.05
08-10-15 16:00,23.19
09-10-15 16:00,23.47
12-10-15 16:00,23.52
13-10-15 16:00,23.5
14-10-15 16:00,23.47
15-10-15 16:00,23.63
16-10-15 16:00,23.71
19-10-15 16:00,23.77
20-10-15 16:00,23.59
21-10-15 16:00,23.19
22-10-15 16:00,23.56
23-10-15 16:00,23.58
26-10-15 16:00,23.19
27-10-15 16:00,22.56
28-10-15 16:00,22.74
29-10-15 16:00,22.68
30-10-15 16:00,23.2
02-11-15 16:00,23.43
03-11-15 16:00,23.75
04-11-15 16:00,23.61
05-11-15 16:00,23.64
06-11-15 16:00,23.25
09-11-15 16:00,22.6
10-11-15 16:00,22.61
11-11-15 16:00,22.42
12-11-15 16:00,22.57
13-11-15 16:00,22.47
16-11-15 16:00,22.91
17-11-15 16:00,23
18-11-15 16:00,23.61
19-11-15 16:00,23.88
20-11-15 16:00,23.88
23-11-15 16:00,23.83
24-11-15 16:00,23.81
25-11-15 16:00,24.06
27-11-15 16:00,24.13
30-11-15 16:00,24.23
01-12-15 16:00,24.61
02-12-15 16:00,24.49
03-12-15 16:00,24.25
04-12-15 16:00,24.49
07-12-15 16:00,24.07
08-12-15 16:00,23.92
09-12-15 16:00,23.68
10-12-15 16:00,23.87
11-12-15 16:00,23.63
14-12-15 16:00,23.3
15-12-15 16:00,23.74
16-12-15 16:00,23.92
17-12-15 16:00,23.85
18-12-15 16:00,23.84
21-12-15 16:00,23.9
22-12-15 16:00,24.34
23-12-15 16:00,24.51
24-12-15 16:00,24.49
28-12-15 16:00,24.2
29-12-15 16:00,24.7
30-12-15 16:00,24.34
31-12-15 16:00,23.97
04-01-16 16:00,23.83
05-01-16 16:00,23.59
06-01-16 16:00,23.38
07-01-16 16:00,22.66
08-01-16 16:00,22.7
11-01-16 16:00,22.57
12-01-16 16:00,22.82
13-01-16 16:00,22.51
14-01-16 16:00,22.99
15-01-16 16:00,22.86
19-01-16 16:00,22.83
20-01-16 16:00,22.41
21-01-16 16:00,22.84
22-01-16 16:00,23.26
25-01-16 16:00,23.36
26-01-16 16:00,23.93
27-01-16 16:00,24.34
28-01-16 16:00,24.27
29-01-16 16:00,24.43
01-02-16 16:00,24.49
02-02-16 16:00,23.85
03-02-16 16:00,23.78
04-02-16 16:00,23.6
05-02-16 16:00,22.62
08-02-16 16:00,21.94
09-02-16 16:00,21.43
10-02-16 16:00,23.51
11-02-16 16:00,23.38
12-02-16 16:00,23.93
16-02-16 16:00,24.18
17-02-16 16:00,25.27
18-02-16 16:00,24.67
19-02-16 16:00,24.71
22-02-16 16:00,25.08
23-02-16 16:00,24.47
24-02-16 16:00,24.45
25-02-16 16:00,24.69
26-02-16 16:00,24.73
29-02-16 16:00,24.87
01-03-16 16:00,25.25
02-03-16 16:00,25.28
03-03-16 16:00,25.02
04-03-16 16:00,24.69
07-03-16 16:00,24.68
08-03-16 16:00,24.55
09-03-16 16:00,24.5
10-03-16 16:00,24.33
11-03-16 16:00,24.77
14-03-16 16:00,24.5
15-03-16 16:00,24.06
16-03-16 16:00,24.95
17-03-16 16:00,25.11
18-03-16 16:00,24.66
21-03-16 16:00,24.74
22-03-16 16:00,24.92
23-03-16 16:00,24.8
24-03-16 16:00,24.87
28-03-16 16:00,24.93
29-03-16 16:00,25.59
30-03-16 16:00,26.12
31-03-16 16:00,25.9
01-04-16 16:00,25.87
04-04-16 16:00,26.27
05-04-16 16:00,26.51
06-04-16 16:00,27.05
07-04-16 16:00,26.25
08-04-16 16:00,26.38
11-04-16 16:00,26.77
12-04-16 16:00,26.63
13-04-16 16:00,26.96
14-04-16 16:00,27.14
15-04-16 16:00,27.01
18-04-16 16:00,27.3
19-04-16 16:00,27.71
20-04-16 16:00,27.78
21-04-16 16:00,27.68
22-04-16 16:00,27.79
25-04-16 16:00,27.34
26-04-16 16:00,27.21
27-04-16 16:00,27.08
28-04-16 16:00,28
29-04-16 16:00,27.96
02-05-16 16:00,27.86
03-05-16 16:00,26.99
04-05-16 16:00,27.02
05-05-16 16:00,27.26
06-05-16 16:00,27.26
09-05-16 16:00,27.15
10-05-16 16:00,27.67
11-05-16 16:00,27.72
12-05-16 16:00,27.94
13-05-16 16:00,27.84
16-05-16 16:00,28.09
17-05-16 16:00,27.79
18-05-16 16:00,27.84
19-05-16 16:00,27.82
20-05-16 16:00,28.2
23-05-16 16:00,27.96
24-05-16 16:00,28.17
25-05-16 16:00,28.94
26-05-16 16:00,29.15
27-05-16 16:00,29.13
31-05-16 16:00,29.34
01-06-16 16:00,29.69
02-06-16 16:00,29.81
03-06-16 16:00,30.07
06-06-16 16:00,30.21
07-06-16 16:00,30.19
08-06-16 16:00,30.49
09-06-16 16:00,30.48
10-06-16 16:00,29.98
13-06-16 16:00,29.86
14-06-16 16:00,29.62
15-06-16 16:00,29.47
16-06-16 16:00,29.29
17-06-16 16:00,29.25
20-06-16 16:00,30.15
21-06-16 16:00,30.63
22-06-16 16:00,30.58
23-06-16 16:00,30.84
24-06-16 16:00,29.31
27-06-16 16:00,28.67
28-06-16 16:00,28.98
29-06-16 16:00,29.3
30-06-16 16:00,29.58
01-07-16 16:00,29.48
05-07-16 16:00,29.15
06-07-16 16:00,29.29
07-07-16 16:00,29.15
08-07-16 16:00,29.47
11-07-16 16:00,29.37
12-07-16 16:00,29.81
13-07-16 16:00,30
14-07-16 16:00,30.24
15-07-16 16:00,30.04
18-07-16 16:00,30.02
19-07-16 16:00,30.76
20-07-16 16:00,31.2
21-07-16 16:00,30.75
22-07-16 16:00,30.66
25-07-16 16:00,31.17
26-07-16 16:00,31.19
27-07-16 16:00,31.4
28-07-16 16:00,29.75
29-07-16 16:00,30.47
01-08-16 16:00,30.71
02-08-16 16:00,30.24
03-08-16 16:00,30.74
04-08-16 16:00,30.92
05-08-16 16:00,31.05
08-08-16 16:00,31.29
09-08-16 16:00,31.63
10-08-16 16:00,31.27
11-08-16 16:00,31.68
12-08-16 16:00,31.59
15-08-16 16:00,31.4
16-08-16 16:00,31.36
17-08-16 16:00,31.14
18-08-16 16:00,31.35
19-08-16 16:00,31.36
22-08-16 16:00,31.19
23-08-16 16:00,31.44
24-08-16 16:00,31.01
25-08-16 16:00,31.22
26-08-16 16:00,31.4
29-08-16 16:00,31.29
30-08-16 16:00,31.2
31-08-16 16:00,31.41
01-09-16 16:00,31.57
02-09-16 16:00,31.91
06-09-16 16:00,31.84
07-09-16 16:00,31.83
08-09-16 16:00,31.72
09-09-16 16:00,29.89
12-09-16 16:00,32.58
13-09-16 16:00,32.31
14-09-16 16:00,32.65
15-09-16 16:00,32.67
16-09-16 16:00,32.39
19-09-16 16:00,32.5
20-09-16 16:00,32.71
21-09-16 16:00,33.09
22-09-16 16:00,33.27
23-09-16 16:00,32.86
26-09-16 16:00,32.63
27-09-16 16:00,32.67
28-09-16 16:00,32.5
29-09-16 16:00,32.44
30-09-16 16:00,32.43
03-10-16 16:00,32.32
04-10-16 16:00,32.44
05-10-16 16:00,32.49
06-10-16 16:00,32.57
07-10-16 16:00,32.31
10-10-16 16:00,32.23
11-10-16 16:00,31.9
12-10-16 16:00,31.91
13-10-16 16:00,31.9
14-10-16 16:00,32.08
17-10-16 16:00,32.08
18-10-16 16:00,32.2
19-10-16 16:00,32.23
20-10-16 16:00,32.2
21-10-16 16:00,32.17
24-10-16 16:00,32.26
25-10-16 16:00,31.76
26-10-16 16:00,31.1
27-10-16 16:00,30.91
28-10-16 16:00,30.87
31-10-16 16:00,31.04
01-11-16 16:00,30.67
02-11-16 16:00,30.22
03-11-16 16:00,30.36
04-11-16 16:00,30.37
07-11-16 16:00,30.74
08-11-16 16:00,31.44
09-11-16 16:00,31.06
10-11-16 16:00,30.82
11-11-16 16:00,30.39
14-11-16 16:00,29.52
15-11-16 16:00,30.02
16-11-16 16:00,30.53
17-11-16 16:00,30.81
18-11-16 16:00,30.74
21-11-16 16:00,30.58
22-11-16 16:00,30.93
23-11-16 16:00,31.46
25-11-16 16:00,31.17
28-11-16 16:00,31.34
29-11-16 16:00,31.71
30-11-16 16:00,31.78
01-12-16 16:00,31.16
02-12-16 16:00,31.17
05-12-16 16:00,30.97
06-12-16 16:00,30.67
07-12-16 16:00,30.86
08-12-16 16:00,30.72
09-12-16 16:00,30.57
12-12-16 16:00,30.64
13-12-16 16:00,31.03
14-12-16 16:00,30.51
15-12-16 16:00,30.36
16-12-16 16:00,30.25
19-12-16 16:00,30.64
20-12-16 16:00,30.93
21-12-16 16:00,31.02
22-12-16 16:00,30.68
23-12-16 16:00,30.73
27-12-16 16:00,30.76
28-12-16 16:00,30.76
29-12-16 16:00,31.03
30-12-16 16:00,30.91
03-01-17 16:00,30.76
04-01-17 16:00,31.27
05-01-17 16:00,31.42
06-01-17 16:00,31.3
09-01-17 16:00,31.11
10-01-17 16:00,31.55
11-01-17 16:00,31.91
12-01-17 16:00,32.08
13-01-17 16:00,32.1
17-01-17 16:00,32.17
18-01-17 16:00,31.66
19-01-17 16:00,31.27
20-01-17 16:00,31.7
23-01-17 16:00,31.81
24-01-17 16:00,33.02
25-01-17 16:00,34.27
26-01-17 16:00,34.78
27-01-17 16:00,34.79
30-01-17 16:00,34.07
31-01-17 16:00,34.27
01-02-17 16:00,33.75
02-02-17 16:00,33.3
03-02-17 16:00,33.42
06-02-17 16:00,33.3
07-02-17 16:00,33.03
08-02-17 16:00,32.96
09-02-17 16:00,33.13
10-02-17 16:00,33.55
13-02-17 16:00,33.67
14-02-17 16:00,33.78
15-02-17 16:00,34.02
16-02-17 16:00,33.96
17-02-17 16:00,33.54
21-02-17 16:00,33.65
22-02-17 16:00,33.83
23-02-17 16:00,33.76
24-02-17 16:00,33.48
27-02-17 16:00,33.5
28-02-17 16:00,32.98
01-03-17 16:00,33.17
02-03-17 16:00,33.22
03-03-17 16:00,33.2
06-03-17 16:00,33.35
07-03-17 16:00,33.25
08-03-17 16:00,33.12
09-03-17 16:00,33.32
10-03-17 16:00,33.61
13-03-17 16:00,34.06
14-03-17 16:00,33.94
15-03-17 16:00,34.6
16-03-17 16:00,34.56
17-03-17 16:00,34.47
20-03-17 16:00,34.08
21-03-17 16:00,33.62
22-03-17 16:00,33.78
23-03-17 16:00,33.9
24-03-17 16:00,34
27-03-17 16:00,33.93
28-03-17 16:00,34
